5:criminal,probation,punishment,supervision,penalty,offender,dna,court,sentencing,detainers,parole,disposition,corporal,speedy,unsworn
19:abortion,abortions,roe,rights,visitation,court,assisted,custody,parentage,child,parental,casey,wade,notification,care
17:gaming,plates,abortion,rail,rights,gambling,civil,lottery,school,labor,casino,commandments,pro,education,racing
1:electoral,voting,voter,election,vote,rights,votes,absentee,campaign,elections,civil,id,overseas,contributions,women
10:tax,strategic,estate,transactions,credit,wealth,cards,property,insurance,electronic,collaborative,planning,sales,performance,education
6:wage,welfare,pension,bargaining,afdc,prevailing,mothers,dependent,compensation,pensions,retirement,aid,medicare,minimum,veteran
3:prescription,emergency,sex,drug,abortion,providers,patient,offender,drugs,admitting,pharmacy,contraception,notification,offenders,licensure
4:smoking,beer,restaurants,workplaces,indoor,keg,smoke,cigarette,tobacco,bottle,ban,bars,deposit,containers,kegs
9:river,basin,fires,forest,wildlife,lakes,bridge,conservation,fisheries,endangered,upper,species,water,fish,colorado
13:drinking,bac,dui,driving,drunk,alcohol,tolerance,underage,drivers,se,dwi,zero,intoxication,transportation,blood
14:seat,belt,belts,front,passengers,restraint,wearing,fitting,wear,seatbelt,occupants,secondary,passenger,drivers,rear
2:gun,firearms,crime,theft,stalking,criminal,animal,trafficking,cruelty,firearm,handgun,assault,victims,abuse,abduction
15:organ,screening,donation,newborn,organs,cancer,infertility,breast,colorectal,congenital,transplant,kidney,transplantation,dense,cchd
11:hate,discrimination,lgbt,marriage,rights,gay,orientation,sexual,civil,sodomy,sex,fault,marriages,identity,gender
7:radioactive,waste,disposal,recycling,low,llw,nuclear,generated,nrc,electronic,level,regional,compacts,electronics,reuse
0:securities,estate,trust,property,lien,trustee,fiduciary,beneficiary,debt,debtor,unincorporated,decedent,estates,assets,real
16:tuition,education,students,elementary,college,placement,school,teachers,student,prepaid,remedial,immigrant,educational,academic,courses
12:helmet,motorcycle,helmets,bicycle,wear,riders,moped,wearing,ride,transportation,bike,passengers,deaths,assessing,cyclists
18:housing,urban,termination,communities,enterprise,renewal,condominium,building,rent,fair,condominiums,zoning,cioa,fha,common
8:energy,renewable,gas,solar,wind,electric,portfolio,electricity,tax,rps,oil,credits,emissions,restructuring,utilities
