"policy_id"	"policy_name"	"policy_start"	"policy_end"
"indlimit"	"Individual Limit On Campaigns"	1992	2000
"indorgris"	"State Law Requiring Notification to Individuals/Organizations at Risk (Sex Offender Policy)"	1994	1997
"infanthear"	"Newborn Hearing Screening"	1990	2008
"infconsent"	"Requires Informed Consent Procedure"	1973	2013
"infertility"	"Requirement That Insurance Provide Fertility Services"	1987	2002
"informationpracticescode"	"Provides A Uniform Statutory Approach To Privacy And Freedom Of Information. "	1988	1988
"initiative"	"State Adoption Of The Initiative"	1898	1918
"insandefref"	"Reforms The Process Defendants Use To Claim Insanity, Including The Standard Or Burden Of Proof"	1975	1998
"insanity"	"Making Insanity Plea More Difficult"	1975	1998
"insanitydefenseandpost_trialdisposition"	"Provides Cognitive Test For Determining Insanity"	1985	1985
"insprivate"	"Ban On Insurance Coverage By Private Insurance"	1978	2013
"inspublic"	"Ban On Insurance Coverage By Public Insurance"	1978	2011
"inst_tu_und"	"Instate Tuition For Undocumented Immigrants"	2001	2009
"inst_tu_vet"	"Instate Tuition For Veterans"	2006	2009
"insurableinterestamendmenttotheuniformtrustcode"	"Address Pruchase Of Life Insurance Trusts"	2011	2014
"inswaiver"	"Requires Waivers For Abortion Coverage"	1978	2013
"ins_stateexch"	"Bans Abortion Coverage In State Exchanges"	2011	2013
"intbar"	"Integrated Bar"	1921	1956
"interpleadercompact"	"Allows States To Acquire Jurisdictio Over Claimaints To Property Located Within Compact States"	1954	1978
"interreg"	"Internet Registry Of Sex Offenders"	1997	2004
"interstatecompactforadultoffendersupervision"	"Provides Mutual Military Aid Between States In An Emergency"	1951	2008
"interstatecompactforjuveniles"	"Regulates Movement And Supervision Of Offenders Under Community Supervision"	1955	1986
"interstatecompactonadoptionandmedicalassistance"	"Assures Continued Provision Of All Benefits Of An Adoption Subsidy Agreement, Regardless Of State Of Residence Of The Child"	1984	1991
"interstatecompactoneducationalopportunityformilitarychildren"	"Helps Military Children Transfer Academic Credits Between Institutions"	2008	2014
"interstatecompactonindustrialized/modularbuildings"	"Creates Commission To Create Uniform Rules And Regulations Governing The Design And Construction Of Industrialized/Modular Buildings"	1990	2011
"interstatecompactonlicensureofparticipantsinhorseracingwithpari_mutuelwagering"	"Establishes Uniform Requirements For Licensing Of Participants In Live Racing With Pari-Mutuel Wagering"	2000	2007
"interstatecompactonmentallydisorderedoffenders"	"Commitment For Better Treatment And Care For Mentally Disordered Offenders"	1967	1980
"interstatecompacttoconserveoilandgas"	"Compact On Reducing Wast Of Oil And Gas"	1935	1982
"interstatecorrectionscompact"	"Compact On Improving Management And Treatment In Corrections System"	1959	1994
"interstatedepositionsanddiscoveryact"	"Provides Simple Procedures For Courts In One State To Issue Subpoenas For Out-Of-State Depositions"	2008	2016
"interstateenforcementofdomesticviolenceprotectionordersact"	"Gives Law Enforcement And The Courts A Means Of Either Warning Off Victimizers By Weight Of The Law Or By Getting Them Into Custody Before Actual Harm Occurs."	2001	2016
"interstatefamilysupportact19921996"	"Regulates Interstate Child Support"	1993	1999
"interstatefamilysupportact2001"	"Regulates Interstate Child Support"	2002	2007
"interstatefamilysupportactamendments2008"	"Regulates Interstate Child Support"	2009	2016
"interstatehighspeedrailnetworkcompact"	"Compact For Administering High Speed Rail Commuter Network"	1980	1991
"interstateinsuranceproductregulationcompact"	"Compact Regulating Insurance Policies"	2003	2014
"interstatelibrarycompact"	"Agreement For Using Libraries On An Interstate Basis"	1957	1976
"interstatemedicallicensurecompact"	"Agreement For Licensing Of Physicians Across State Lines"	2015	2016
"interstateminingcompact"	"Agreement For Cross State Regulation Of Mining And Conservation"	1966	1991
"interstaterailpassengernetworkcompact"	"Agreement To Coordinate A Rail Passanger Network"	1979	1993
"intestacywillsanddonativetransfersact"	"Provides Instruction On Transfer Of Property At Death"	1991	1995
"jucoen"	"Junior College - Enabling Leg."	1907	1962
"juvct"	"Establishment of Juvenile Courts"	1899	1959
"juvisup"	"Juveniles Supervision Compact"	1951	1966
"kegreg"	"Beer Keg Registration Requirement"	1978	1999
"keg_reg"	"Required Registration Of Beer Keg Purchases"	1980	2008
"kidhelmet"	"Mandatory Bycicle Helmets for Minors "	1992	2007
"kinship"	"Kinship Care Program"	1998	2006
"laborag"	"Labor Agency"	1869	1959
"labor_age_discriminatio"	"Does The State Ban Age Discrimination?"	1935	1999
"labor_collective_bargaining_sta"	"Does The State Have Collective Bargaining Rights For State Government Employees?"	1966	1996
"labor_collective_bargaining_tea"	"Does The State Have Collective Bargaining Rights For Local Teachers?"	1960	1996
"labor_minimumwage_me"	"Does The State Have A Minimum Wage For Men?"	1944	1968
"labor_minwage_abovefe"	"Is The State'S Minimum Wage Above The Federal Level?"	1968	2012
"labor_prevailing_wage_la"	"Does The State Have Prevailing Wage Laws?"	1891	1973
"labor_relations_tafthar"	"Does The State Have A Labor Relations Act Patterned After Taft-Hartley?"	1937	1966
"labor_relations_wagne"	"Does The State Have A Labor Relations Act Patterned After Wagner Act?"	1937	1966
"labor_right_to_wor"	"Does The State Have Right To Work Legislation?"	1944	2014
"labor_state_ada_accomodat"	"Does The State Have Reasonable Accommodation Laws For Disabled People?"	1965	1990
"labor_state_ada_antidiscri"	"Does The State Ban Discrimination Against Disabled People?"	1965	1990
"labor_state_disability_insuranc"	"Does The State Have A Temporary Disability Insurance Program?"	1945	2014
"labor_state_retirement_syste"	"Does The State Have A Pension System?"	1935	1960
"landsalespractices"	"Regulation On Promitional Sale Of Land"	1967	1973
"lawonnotarialactsrevised"	" Provide A Consistent Framework For Notarial Acts "	2011	2017
"legpre"	"Legislative Pre-Planning Agency"	1933	1972
"legresea"	"Legislative Research Agency"	1901	1972
"lemon"	"Lemon Laws"	1982	1984
"libext"	"Library Extension System"	1890	1949
"licenseplate"	"Allow Pro-Life Plates"	2000	2013
"licenses_accountant"	"State License Required For Accountants"	1896	1951
"license_plates"	"Allow Pro-Choice Plates"	2003	2010
"lien"	"Lien Statutes"	1995	1999
"limitedcooperativeassociationact2007lastamended2013"	"Addresses The Cooperative Form Of Business."	2008	2012
"limitedliabilitycompany19951996"	"Permits The Formation Of Limited Liability Companies, "	1997	1999
"limitedliabilitycompany2006lastamended2013"	"Permits The Formation Of Limited Liability Companies, "	2008	2017
"limitedpartnership1976"	"Permits The Formation Of Limited Liability Companies, "	1979	1998
"limitedpartnershipact1916"	"Regulates Business Partnerships In The Us"	1968	1973
"limitedpartnershipact2001lastamended2013"	"Regulates Business Partnerships In The Us"	2003	2017
"livingwill"	"Living Wills"	1976	1986
"lott"	"Lottery"	1964	1993
"mailreg"	"Malpractice Reforms"	1972	1995
"manaccess"	"Mandatory Access To Paper Registry Of Sex Offenders"	1993	2000
"managementofinstitutionalfundsact"	"Provides Guidance On Investment Decisions And Endowment Expenditures"	1973	1998
"managementofpublicemployeeretirementsystemsact"	"Provide Legal Rules That Permit Public Employee Retirement Systems To Invest Their Funds In The Most Productive And Secure Manner."	2005	2005
"manclin"	"Mandated Coverage of Clinical Trials"	1994	2008
"mandatorydispositionofdetainers"	"Establishing Rules For The Prompt Disposition Of Detainers"	1959	1980
"mandnot"	"Mandatory Notification About Sex Offenders"	1995	2006
"maritalpropertyact"	"Allows The Family To Be Viewed As Single Economic Unit"	1984	1984
"marriageanddivorceactmodel"	" It Minimizes The Number Of Prohibited Marriages, And Includes The Concept Of No-Fault Divorce."	1973	1978
"medianot"	"Media Notification About Sex Offenders"	1995	2003
"mediationact"	"Establishes A Privilege Of Confidentiality For Mediators And Participants."	2003	2013
"medicaid_stateadoptio"	"Does The State Have A Medicaid Program?"	1966	1983
"medicalrest"	"Restrictions On Medical Abortions"	2001	2013
"medmar"	"Symbolic Medical Marijuana Policy"	1978	2008
"meganslaw"	"Requires Information Be Made Public Regarding Registered Sex Offenders"	1990	1999
"mendeapen"	"States Amend Death Penalty To Prohibit Execution Of Mentally Handicapped"	1988	2001
"merit"	"Merit System"	1883	1953
"meritaid"	"Merit Based Aid Program"	1993	2005
"meritstateadmin"	"Merit System For States (Post 1993)"	1993	2002
"methpre"	"Restrictions on OTC Medications with Methamphetamine Precursors"	1996	2005
"middleatlanticforestfireprotectioncompact"	"Promote Cooperation Fighting Forest Fires In The Region"	1953	1988
"midwesternhighereducationcompact"	"Agreement To Facilitate Education For Residents Of The Region"	1990	2008
"midwestinterstatelow_levelradioactivewastecompact"	"Provides For System For Disposing Low-Level Radioactive Waste"	1983	1984
"midwestinterstatepassengerrailcompact"	"Agreement Between States For Management Of Passenger Rail System"	2000	2002
"miglab"	"Migratory Labor Committee"	1943	1960
"militaryandoverseasvotersact"	"Simplifies Absentee Voting For Military And Civilians Abroad"	2011	2015
"minfine"	"Minimum Fine For First Dui"	1980	2001
"minorstudentcapacitytoborrowact1969"	"Provides That A Student Loan Is Enforceable Against Debtor"	1970	1973
"minwage"	"Minimum Wage Law"	1915	1965
"missplan"	"Missouri Plan"	1940	1976
"mlda21"	"Minimum Legal Drinking Age 21"	1933	1988
"mntlhlth"	"Mental Health Standards Committee"	1955	1987
"modelmandatorydispositionofdetainersact"	"Establishing Rules For The Prompt Disposition Of Detainers"	1968	1975
"modelrealestatetime_shareact"	"Covers Creation, Management, And Termination Of Time Shares"	1983	1988
"modelstateadministrativeprocedureact1981"	"Provides Procedures For Promulgating Administrative Regulations"	1968	1986
"moneyservicesact"	"Provides A Framework For Dealing With Money Laundering Issues Unique To No Depository Providers Of Financial Services"	2001	2016
"mothersaid"	"Mothers' Aid Cash Assistance Program"	1911	1931
"mothpen"	"Mothers Pensions"	1911	1931
"motorhelm"	"Motorcycle Helmet Requirement"	1967	1985
"motorvoter"	"Voter Registration with Driver License Renewal"	1976	1995
"mprisdm"	"Mandates Prison Time For First Dui"	1982	2003
"msas"	"Medical Savings Accounts"	1993	1997
"multiple_personaccounts"	"Encourages Banks And Credit Unions To Offer Pod (Pay On Death) And Agency (Convenience) Account Forms For Use By Persons Desiring Some, But Not All, Incidents Of Joint Accounts."	1993	2010
"multistatehighwaytransportationagreement"	"Agreement For Establishing Vehicle Size And Loads Across States"	1975	1997
"multistatelotteryagreement"	"Establishes Multistate Lottery"	1988	2009
"multistatetaxcompact"	"Creates System For Taxing Multistate Taxpayers"	1967	2014
"naticurric"	"Teaching Of Native American History Made Mandatory Or Optional"	1999	2007
"nationalcrimepreventionandprivacycompact"	"Organizes Electronic Information Sharing System Among Federal Government And The States To Exchange Criminal Records"	1999	2013
"nationalguardmutualassistancecompact"	"Agreement For Coordinating State National Guards For Assistance"	1968	1993
"nationalguardmutualassistancecounter_drugactivitiescompact"	"Agreement To Coordinate State National Guards For Counter-Drug Activities"	1993	1998
"nationalpopularvoteinterstatecompact"	"Agreement To Award All Electoral College Votes To Winner Of National Popular Vote"	2007	2014
"natreso"	"Strategic Planning for Natural Resources"	1975	1991
"neartotalban"	"Near Total Abortio Ban"	1991	1991
"neighnot"	"Neighbor Notification About Sex Offenders"	1995	2006
"netmeter"	"Billing Credit For Renewable Energy Users Who Add Electricity To The Grid"	1983	2006
"netmeter_yearadopted"	"Implement Onsite Renewable Energy Generation"	1990	2008
"newbornheartscreen"	"Coverage For Newborn Screening For Critical Congenital Heart Disease"	2011	2013
"newenglandcorrectionscompact"	"Agreement To Improve Corrections Facilities"	1958	1973
"newenglandhighereducationcompact"	"Agreemtn To Facilitate Education For Residents In The Region"	1954	1980
"newenglandinterstatewaterpollutioncontrolcompact"	"Agreement To Coordinate Water Polution Management"	1947	1955
"newenglandpolicecompact"	"Provide Close And Effective Cooperation In Detecting And Apprehending Criminal Activity"	1965	1969
"newenglandradiologicalhealthprotectioncompact"	"Agreement To Promote Radiological Health Protection Of The Public"	1967	1969
"nonprobatetransfersondeathact"	"Allows Owner To Designate Beneficiary To Automatically Receive Property At Death"	1990	2010
"nonresidentviolatorcompact"	"Agreement For Equal Treatment Of Nonresidents In Traffic Violations"	1965	1993
"norealid"	"State Policy to Refuse to Comply with 2005 Federal Real ID Act"	2007	2009
"northeasterninterstateforestfireprotectioncompact"	"Regional Coordination To Fight Forest Fires"	1949	1996
"northwestcompactonlow_levelradioactivewastemanagement"	"Regional Compact For Disposal Of Low Level Radioactive Waste"	1981	1992
"notarialacts1982"	"Simplifies Rules For Notarization"	1983	2008
"nrmlsch"	"Normal Schools"	1839	1910
"nrslic"	"Nurses Licensing"	1903	1970
"nurselicensurecompact"	"Interstate Coordination On Nurse Licensing"	1998	2004
"offwmh"	"Special Agent/Office for Women Health "	1993	2009
"ohiorivervalleywatersanitationcompact"	"Maintains Ohio River Basin Waters"	1939	1948
"oldagea"	"Old Age Assistance (Social Security)"	1936	1938
"opencont"	"Prohibits Open Alcoholic Containers In Vehicles"	1980	2006
"optinnot"	"Opt-In Notification About Sex Offenders"	1996	2006
"pacificmarinefisheriescompact"	"Establishes Commission To Promote Conservation Of Pacific Coast Fisheries"	1947	1976
"painmanagement"	"State Pain Management Program"	1989	2001
"paperterror"	"Regulates Paper Terrorism- Term Referring To Using Legal Documents Without Factual Basis To Harass, Particularly Against Government Officials"	1995	1999
"parconsent"	"Requires Parental Consent"	1974	2006
"parcounsel"	"Requires Counseling For Minors Seeking Abortions"	1978	1978
"parentageact"	" Law Of Determination Of Parentage, Paternity Actions And Child Support."	2001	2015
"parentageact1973"	" Law Of Determination Of Parentage, Paternity Actions And Child Support."	1975	1989
"parksys"	"Park System"	1885	1978
"parnotific"	"Requires Parental Notificatio For Abortions"	1973	2010
"parolesup"	"Parolees/Probationers Supervision"	1931	1985
"partitionofheirspropertyact"	"Helps Preserve Family Wealth Passed To The Next Generation In The Form Of Real Property."	2011	2017
"partnershipact1914"	"Helps Make Regulation Of Business Partnerships Uniform Between States"	1969	1993
"partnershipact1997lastamended2013"	"Helps Make Regulation Of Business Partnerships Uniform Between States"	1993	2017
"pbf"	"Performance Based Funding"	1979	2008
"pdrugmon"	"Prescription Drug Monitoring"	1940	1999
"perforfun"	"States Adopting Performance Based Funding For Higher Education"	1979	2001
"periodicpaymentofjudgmentsact"	"Pays Damage Awards Over Periods Of Time"	1986	1986
"personaltaxeff_yearadopted"	"Residential Tax Credits For Efficiency"	1990	2008
"personaltax_yearadopted"	"Residential Tax Credits For Renewable Energy Systems"	1990	2008
"pestcomp"	"Interstate Pest Control Compact"	1968	2009
"pharmlic"	"Pharmacists Licensing"	1874	1955
"physicaltherapylicensurecompact"	"Facilitating Interstate Licensing Of Physical Therapists"	2016	2016
"physreq"	"Require A Licensed Physician For Abortion"	1973	2002
"plannedcommunityact"	"Comprehensive Provisions For Creating, Managing, And Terminating Planned Community Developments."	1997	1997
"pldvpag"	"Planning/Development Agency"	1935	1978
"postdna"	"Post-Conviction DNA Motions"	1997	2005
"postvia"	"Ban On Post-Viability Abortion"	1973	2002
"post_convictionprocedureactmodel"	"Allows For Convicted To Petition For Relief If Rights Violated"	1970	1970
"potomacvalleycompact"	"Preserves Water Quality Of Potomac River Basin"	1939	1961
"powerofattorney"	"Provides For Power Of Attorney "	2007	2017
"powersofappointment"	"Regulate Power Of Appointment For Estate Planning"	2014	2017
"pre20wk"	"Pre-20 Week Abortion Ban"	1997	2000
"preconvictdays"	"Length License Suspension For First Dui, Pre-Conviction"	1980	2004
"premaritalagreementact"	"Allows For Agreement Between Spouses Made Before Marriage To Be Effective Upon Marriage"	1985	2007
"premaritalandmaritalagreementsact"	"Standardizes Martial And Pre-Martial Agreements"	2013	2013
"prepaid"	"State Sponsored Prepaid Tuition Plans"	1986	2000
"prepaytut"	"State Adoption Of Prepaid Tuition"	1986	1999
"prescdrug"	"Requirement For Pharmaceuticals To Provide State With Prescription Drug Information"	1961	2006
"preventionofandremediesforhumantrafficking"	"Laws Aiming To Prevent Human Trafficking"	2014	2015
"primaryenforce_all"	"Police May Pull Over Drivers For Driving Without Seatbelt"	1985	2010
"primaryenforce_minor"	"Police May Pull Over Drivers For Minors Riding Without Seatbelt"	1986	2007
"primseat"	"Primary Seat Belt Laws"	1984	2004
"principalandincomeact1962"	"Provide Procedures For Trustees Administering Trusts And Personal Representatives Administering Estates In Allocating Assets To Principal And Income,"	1968	1992
"principalandincomeact2000"	"Provide Procedures For Trustees Administering Trusts And Personal Representatives Administering Estates In Allocating Assets To Principal And Income,"	1997	2012
"principalandincomeamendments2008"	"Provide Procedures For Trustees Administering Trusts And Personal Representatives Administering Estates In Allocating Assets To Principal And Income,"	2009	2017
"prisondayswag"	"Mandatory Days Spent In Prison For First Dui"	1980	2003
"prkagcit"	"Parking Agency - Enabling Act for Cities"	1919	1970
"prob"	"Probation Law"	1878	2005
"probatecode"	"Governs Inheritance And Decedents' Estates"	1971	2010
"probatecodeamendments2008"	"Governs Inheritance And Decedents' Estates"	2009	2011
"protectionofcharitableassetsactmodel"	"Articulate And Confirm The Role Of The State Attorney General In Protecting Charitable Assets."	2014	2014
"prudentinvestoract"	"Reflects A ""Modern Portfolio Theory"" And ""Total Return"" Approach To The Exercise Of Fiduciary Investment Discretion"	1991	2006
"prudentmanagementofinstitutionalfundsact"	"Requires Prudent And Diverse Investments Of State Funds"	2007	2012
"pubaccess"	"Public Access To Sex Offender Registration"	1993	2000
"pubbenefits_yearadopted"	"Collect Public Benefit Fund"	1996	2005
"pubbrefeed"	"Allowance of Breastfeeding in Public"	1993	2008
"pubcamfun"	"Public Campaign Funding"	1973	1987
"pubemployees"	"Ban On Public Employess Conducting Abortions"	1990	2005
"pubfacilities"	"Ban On Using Public Facilities For Abortions"	1981	2009
"pubhouen"	"Public Housing - Enabling"	1933	1950
"race_boehmke_fhpu"	"Does The State Ban Discrimination In Public Housing?"	1937	1964
"race_boehmke_fhur"	"Does The State Have Urban Renewal Areas?"	1945	1964
"race_disc_publicaccom_agenc"	"Does The State Have An Agency To Prosecute Cases On Public Accommodation? "	1935	1963
"race_fair_employmen"	"Does The State Have Fair Employment Laws"	1965	2014
"race_fair_housing_law"	"Does The State Have Fair Housing Laws?"	1959	1968
"race_fair_housing_owne"	"Does The State"	1959	1968
"racialpro"	"Racial Profiling Regulation"	1999	2004
"rackact"	"Taking Steps To Address Racial Profiling By Police"	1977	1995
"rapeshield"	"Protection Of Victims Of Sex Crimes During Criminal Proceedings"	1973	1998
"realest"	"Real Estate Brokers Licensing"	1917	1964
"realestatecooperative"	"Provides Comprehensive Legislation Governing The Critical Phases Of Cooperative Development: Creation, Financing, Management, And Termination."	1982	1982
"realpropertyelectronicrecordingact"	"Give County Clerks And Recorders The Legal Authority To Prepare For Electronic Recording Of Real Property Instruments."	2005	2016
"realpropertytransferondeathact"	"Allows For Designated Beneficiary To Automatically Receive  Property Transfer At Owner'S Death"	2011	2015
"reciprocalenforcementofsupportact1950"	"Facilitates Interstate Cooperation On Collecting Child Support"	1968	1990
"recipsup"	"Reciprocal Support Law"	1934	1959
"recognitionandenforcementofcanadiandomestic_violenceprotectionorders"	"Enforces Canadian Domestic Violence Orders"	2016	2017
"recognitionofsubstitutedecision_makingdocuments"	"Allows Substituting Documents Created In Other Jurisdictions"	2015	2016
"refuseserv"	"Physicians Can Refuse To Do An Abortion"	1976	2004
"registeredagentsactmodel2006lastamended2011"	"Provides States With One Registration Procedure For Registered Agents"	2007	2012
"regreq"	"Establishes Definitions Of Racketeering Activity To Help Prosecute Organized Crime And Criminal Activity"	1983	1996
"regulations_lemonla"	"Did The State Pass A Law Protecting Consumers Who Purchase Automobiles Which Fail After Repeated Repairs?"	1970	2014
"regulations_state_debt_limitati"	"Does The State Constitution Restrict State Debt Issuance?"	1842	1976
"regulation_bicycle_helmet"	"Does The State Require That People Use Helmets While On Bicycles?"	1985	2014
"regulation_boehmke_cogrowma"	"Does A State Have A Law Authorizing Or Requiring Growth-Management Planning?"	1961	2007
"regulation_boehmke_grandvis"	"Does The State Have A Law Guaranteeing Grandparents' Visitation Rights?"	1964	1987
"regulation_boehmke_livingwil"	"Does The State Have A Law Permitting Individuals Control Over The Use Of Heroic Medical Treatment In The Event Of A Terminal Illness?"	1976	1992
"regulation_boehmke_shiel"	"Does The State Have A Shield Law Protecting Them From Revealing Their Sources?"	1935	2013
"regulation_forced_sterlization"	"Does The State Have A Forced Sterilization Program?"	1945	1974
"regulation_hate_crime"	"Are Hate Crimes Explicitly Illegal In The State?"	1981	2014
"regulation_homerul"	"Enables Cities To Adopt A Home Rule Charter That Acts As The City'S Basic Governing Document Over Local Issues."	1875	1960
"regulation_housing_directstatea"	"Does The State Provide Direct Aid For Urban Housing?"	1939	1951
"regulation_mandatory_car_insura"	"Does The State Require Drivers To Obtain Car Insurance?"	1945	1986
"regulation_mandatory_seatbelt"	"Does The State Require The Usage Of Seat Belts (Either Primary Or Secondary Enforcement)?"	1984	2014
"regulation_motorcycle_helmet"	"Does The State Require The Usage Of Helmets By People On Motorcycles?"	1967	2014
"regulation_pain_suffering_limit"	"Are There Limits On Damages For Pain And Suffering In Lawsuits?"	1975	2012
"regulation_physician_suicid"	"Does The State Allow Physician-Assisted Suicide?"	1998	2014
"regulation_rent_contro"	" Does State Prohibit The Passage Of Rent Control Laws In Its Cities Or Municipalities?"	1950	2014
"regulation_rfr"	"Did The State Pass The Religious Freedom Restoration Act?"	1993	2014
"regulation_sedition_law"	"Does The State Have Anti-Sedition Laws?"	1935	1955
"regulation_utility_jurisdictio"	"State Commission With Rate-Setting Authority Over Electricity Utilities"	1887	1956
"renewenergy"	"Setting Renewable Energy Standards"	1983	2014
"renewport"	"State Renewable Portfolio Standards"	1991	2004
"repsodomy"	"Repeal Sodomy Law"	1962	2003
"requireanyid2"	"Require Any Id"	1972	2013
"residentiallandlordandtenantact1972"	"Codify Best Practices In Leasing Housing"	1972	2006
"residentialmortgagesatisfactionact"	"Regulating Mortgage Holder Rights"	2005	2014
"restaurantbanstate"	"Smoking Ban In All Restaurants In State"	1980	2010
"restruct"	"Restructuring Electricity System"	1996	2001
"retailtheft"	"Retail Theft Law"	1973	2000
"retainag"	"Retainers Agreement"	1957	1965
"retstate"	"Retirement System for State Employees"	1911	2005
"revenue"	"Strategic Planning for Revenue"	1981	1991
"reviseduniformunclaimedpropertyact"	"Includes Gift Cards And Other Technological Property In Previous Unclaimed Property Law"	2017	2017
"rico"	"Combats Organized Crime"	1972	1995
"right2work"	"Protects Employees from Termination for Not Joining Unions/Paying Dues "	1911	2001
"rightdie"	"Right to Die"	1976	1988
"rightsoftheterminallyillact1985"	"Right To Die With Dignity Legislation"	1985	1992
"roadshwy"	"Aid for Roads and Highways"	1891	1957
"roeovertur"	"If Roe Overturned, Abortion Immediately Illegal"	1974	2005
"rps_yearadopted"	"Renewable Portfolio Standard"	1997	2008
"rulesofevidence1974"	" Simplify And Codify The Rules Pertaining To What May Be Introduced In Evidence In Any Civil Or Criminal Trial In A Court Of Law."	1975	1980
"r_d_tax_credit"	"State Credits For Research And Development"	1982	2007
"sals"	"Seasonal Agricultural Labor Standards"	1945	1965
"salvia"	"Regulation Of Salvi Divinorum "	2005	2008
"savingplan"	"College Tuition Saving Plans"	1988	1999
"schoolchoi"	"School Choice"	1987	1992
"sdce"	"Dependent Coverage Expansion Insurance for Young Adults"	1994	2008
"securitiesact"	"Regulates Offer And Sale Of Securities"	2003	2016
"securitiesact1956"	"Regulates Offer And Sale Of Securities"	1968	1987
"securitiesact1988"	"Regulates Offer And Sale Of Securities"	1988	1990
"segoss"	"Provisions by the States Maintaining Segregated Educational Systems for Out-Of-State Study by African-Americans"	1927	1943
"sexreginfo"	"Access to Sex Offender Registries"	1991	1997
"sexselect"	"Prohibits Abortion On Sex-Discrimination"	1975	2014
"shield"	"Protections Against Compelling Reporters to Disclose Sources in Court"	1935	2009
"shoplift"	"Larger Penalties For Shoplifting"	1965	2000
"simultaneousdeathact"	"Regulates Passage Of Assets If Multiple People Die Within Short Period"	1992	2010
"simultaneousdeathact1940"	"Regulates Passage Of Assets If Multiple People Die Within Short Period"	1985	1985
"slains"	"Slaughterhouse Inspection"	1894	1969
"smokeban"	"Statewide Smoking Ban"	1995	2009
"snrpresc"	"Senior Prescription Drugs"	1975	2001
"soexorder"	"Sexual Orientation Descrimination Executive Order"	1975	2010
"soil"	"Soil Conservation Districts"	1937	1974
"solaw"	"Sexual Orientation Discrimination Law"	1981	2009
"sonofsam"	"Keeps Criminals From Profiting From Publicity Of Crimes"	1974	1997
"sonsam"	"Prohibition Of Convicts Profiting From Telling Their Story; Establishes Trust So Such Profits Can Go To Victims"	1974	1997
"southeasternforestfireprotectioncompact"	"Regional Agreement For Fighting And Preventing Forest Fires"	1953	1956
"southeastinterstatelow_levelradioactivewastecompact"	"Regional Agreement For The Disposal Of Low-Level Radioactive Waste"	1982	1988
"southerndairycompact"	"Regional Management And Development Of Dairy Industry"	1997	2001
"southerngrowthpoliciescompact"	"Provide Improved Facilities And Procedures For Study, Analysis And Planning Ofgovernmental Policies"	1953	1989
"southernregionaleducationcompact"	"Joint Development Of Educational Resources"	1948	1998
"southwesternlow_levelradioactivewastedisposalcompact"	"Agreement For The Disposal Of Low-Level Radioactive Wast"	1984	1989
"sprinsch"	"Superintendent of Public Instruction"	1813	1966
"stalkdef"	"Stalking Definition and Penalty"	1998	2001
"stalking"	"Does The State Have Anti-Stalking Legislation"	1990	1998
"standground"	"Post-2005 Expansion Of Stand Your Ground Laws"	1994	2011
"stateptr"	"Establishment of State Patrol/Highway Police"	1903	1953
"statrapage"	"Age Span Provisions for Statutory Rape "	1950	1998
"statrape"	"Statutory Rape Age Law"	1971	1998
"statusofchildrenofassistedconceptionact"	"Protects Children Born Through Assisted Conception"	1989	1989
"statusofconvictedpersonsact1964"	"Defines Rights Of Convicted People"	1968	1994
"statutoryformpowerofattorneyact"	"Regulates Power Of Attorney "	1991	2006
"statutoryruleagainstperpetuities"	"Regulated Duration Of Ownership Of Property"	1987	2011
"statutorytrustentityact"	"Governs The Use Of Statutory Trusts As A Mode Of Business Organization. "	2011	2012
"statutorywillact1984"	"Helps Simplify Wills"	1991	1991
"stplnb"	"State Planning Board"	1933	1959
"strikes"	"Felony Sentencing Guidelines for Three Strikes"	1993	1995
"st_wd_tran"	"Statewide Transfer Agreement (Higher Ed)"	1976	2008
"sundayban"	"Banning Alcohol Sales On Sundays"	1998	1999
"supp_research"	"Encourages Research On Ru486"	1991	2004
"surpluslinesinsurancemulti_statecompliancecompact"	"Eliminates Duplicative And Inconsistent Tax And Regulatory Requirements Among The States"	2011	2011
"syringe"	"Laws Establishing State Exchanges For Used Needles"	1987	2004
"taxcom"	"Tax Commission"	1864	1959
"teacelm"	"Teacher Certification - Elementary"	1930	1957
"teacsec"	"Teacher Certification - Secondary"	1896	1956
"telgrareg"	"First Piece Of Legislation Regulating Telegraphs"	1845	1860
"tels"	"Tax and Expenditure Limits"	1976	1994
"termlim"	"Legislative Term Limits"	1990	2000
"terrorfund"	"Laws Against Money Laundering Or Funding Terrorist Organizations"	1998	2003
"testamentaryadditionstotrustsact"	"Modernizes Trust And Estate Law "	1968	2010
"threestrikes"	"Increase In Sentencing After More Than Two Felonies"	1993	1996
"timelim"	"Time Limits on Welfare Benefits"	1993	1996
"todsecurityregistrationact"	"Provides Non-Probate Transfer Of Specifically Registered Investment Securities From Owner To Named Beneficiaries At Owner'S Death."	1990	2010
"tradesecretsact"	"Codify The Common Law With Proper Clarification Of Rights And Remedies In Relation To A Trade Secret"	1980	2013
"transboundarypollutionreciprocalaccessact"	"Overcomes Procedural Obstacles That Prevent A Pollution Victim In One State Or Province From Seeking Enforceable Remedies In The State Or Province Where The Pollution Originated."	1983	1992
"transferstominorsact"	"Allows A Minor To Receive Gifts, Such As Money, Patents, Royalties, Real Estate And Fine Art, Without The Aid Of A Guardian Or Trustee."	1984	2015
"transport"	"Strategic Planning for Transportation"	1974	1991
"trap"	"Targeted Regulation Of Abortion Providers (Trap) Laws"	1978	2005
